Conversation,SK,UserData,PK,CreatedAt,Feedback
"[{'from': 'user', 'text': 'Necesito un certificado de momenclatura', 'timestamp': '2025-08-18T08:19:49Z'}, {'from': 'bot', 'text': 'Entiendo que necesitas un certificado de nomenclatura. Te puedo ayudar con información sobre este trámite.\n\nEl certificado que buscas se llama ""Certificado de Nomenclatura"" y es un documento oficial emitido por la Unidad Administrativa Especial de Catastro Distrital (UAECD) de Bogotá <a href=""https://www.catastrobogota.gov.co/glosario-catastral"" target=""_blank"" rel=""noopener"">[1]</a>.\n\nEste certificado contiene la información sobre la dirección oficial de un predio, incluyendo su nomenclatura vial y domiciliaria <a href=""https://www.catastrobogota.gov.co/glosario-catastral"" target=""_blank"" rel=""noopener"">[1]</a>.\n\nPara obtener este certificado, puedes seguir estos pasos:\n\n1. Si eres el propietario del predio, puedes descargarlo directamente a través de la página de Catastro en Línea (CEL): https://www.catastrobogota.gov.co/canal/catastro-en-linea <a href=""https://www.catastrobogota.gov.co/pregunta"" target=""_blank"" rel=""noopener"">[4]</a>\n\n2. También puedes solicitar información sobre el estado de tu trámite a través del Call Center 601 2347600, seleccionando la opción ""estado de trámite"" <a href=""https://www.catastrobogota.gov.co/pregunta"" target=""_blank"" rel=""noopener"">[4]</a>\n\nEs importante mencionar que la UAECD es la entidad encargada de asignar, unificar y materializar la nomenclatura en Bogotá <a href=""https://www.catastrobogota.gov.co/recurso/nomenclatura"" target=""_blank"" rel=""noopener"">[15]</a>. Esto incluye tanto la nomenclatura vial (calles, carreras, etc.) como la domiciliaria (número de cada predio) <a href=""https://www.catastrobogota.gov.co/recurso/nomenclatura"" target=""_blank"" rel=""noopener"">[15]</a>.\n\nSi necesitas más información sobre el proceso de obtención del certificado o tienes dudas adicionales sobre la nomenclatura en Bogotá, no dudes en preguntar.', 'timestamp': '2025-08-18T08:19:49Z'}]",CONVERSATION#2025-08-18T13:19:49.966664,"{'nombre': 'YOLIMA muñoz', 'ciudad': 'Bogota'}",USER#d59ec341-9557-48d6-a009-bc59f7dff8a1,2025-08-18T13:19:49.966664,
,REGISTER#2025-08-18T13:18:44.147335,"{'nombre': 'YOLIMA muñoz', 'gerencia': 'Bogota'}",USER#d59ec341-9557-48d6-a009-bc59f7dff8a1,2025-08-18T13:18:44.147335,
"[{'from': 'bot', 'text': 'Gracias por su paciencia.Basándome en la información obtenida, puedo responder a su pregunta sobre el tiempo que tarda una revisión de avalúo catastral en Bogotá.La revisión de avalúo catastral de un predio tiene un tiempo de respuesta oficial de 30 días hábiles [^tooluse_iNcb5v4xRI6QxXGU2vQTKg@2].Es importante mencionar algunos detalles adicionales sobre este trámite:1. Tipo de trámite: Es un trámite semipresencial, lo que significa que algunas partes del proceso pueden realizarse en línea y otras pueden requerir presencia física [^tooluse_iNcb5v4xRI6QxXGU2vQTKg@1].2. Costo: Este trámite no genera pago, es gratuito [^tooluse_iNcb5v4xRI6QxXGU2vQTKg@1].3. Descripción: La revisión de avalúo catastral es una verificación del valor catastral determinado para un predio o mejora, que se estableció mediante un proceso catastral, acorde con las características y condiciones de la propiedad inmueble [^tooluse_iNcb5v4xRI6QxXGU2vQTKg@1].4. Atención presencial: Si necesita ser atendido de forma presencial, puede solicitar una cita en los diferentes SuperCADE donde la Unidad Administrativa Especial de Catastro Distrital tiene presencia.Puede agendar su cita a través del siguiente enlace: https://www.catastrobogota.gov.co/agenda-a-un-clic [^tooluse_iNcb5v4xRI6QxXGU2vQTKg@1].5. Trámite en línea: También puede iniciar el trámite en línea a través de la plataforma de Catastro en Línea [^tooluse_iNcb5v4xRI6QxXGU2vQTKg@1].Es importante tener en cuenta que este tiempo de 30 días hábiles es el plazo máximo establecido para la respuesta, pero en algunos casos el trámite podría resolverse antes.¿Hay algo más que le gustaría saber sobre el proceso de revisión de avalúo catastral o algún otro trámite relacionado con Catastro Bogotá?', 'timestamp': '2025-08-04T20:07:53Z'}]",CONVERSATION#2025-08-05T01:07:54.507273,"{'nombre': '', 'ciudad': ''}",USER#cc0ed8da-f6b8-4f69-8562-02b7b55adb6a,2025-08-05T01:07:54.507273,
,FEEDBACK#2025-08-05T01:07:54.507273,"{'nombre': '', 'ciudad': ''}",USER#cc0ed8da-f6b8-4f69-8562-02b7b55adb6a,2025-08-05T01:07:54.507273,"{'type': 'dislike', 'comment': 'Volvio a decir 30 días', 'option': 'Respuesta incorrecta'}"
,REGISTER#2025-08-05T01:03:08.467159,"{'nombre': 'Juan Fernando García', 'gerencia': 'Bogotá'}",USER#cc0ed8da-f6b8-4f69-8562-02b7b55adb6a,2025-08-05T01:03:08.467159,
,REGISTER#2025-08-05T21:25:21.685208,"{'nombre': 'Juana', 'gerencia': 'Munich'}",USER#8d881580-82bd-4d85-867c-3a88aa71a9f3,2025-08-05T21:25:21.685208,
,REGISTER#2025-08-10T06:34:10.057938,"{'nombre': 'Santiago Sastoque', 'gerencia': 'Bogota'}",USER#f6e944b5-a16a-4c8d-aaa2-82df98f38e4c,2025-08-10T06:34:10.057938,
"[{'from': 'bot', 'text': ""Lo siento, no entiendo tu consulta. ¿Podrías darme más detalles sobre lo que necesitas? Así podré ayudarte mejor con información relacionada a los trámites y servicios del Catastro Distrital de Bogotá.\n\nPuedes preguntarme cosas como: '¿Cómo corrijo mi información catastral?' o '¿Cómo presento un reclamo?' ¿En qué puedo ayudarte hoy específicamente sobre temas del Catastro Distrital?"", 'timestamp': '2025-08-09T15:39:05Z'}]",CONVERSATION#2025-08-09T20:39:06.302629,"{'nombre': 'María Inés pulido', 'ciudad': 'Bogotá'}",USER#203bb60e-cd85-485f-9628-c91ccc75df4c,2025-08-09T20:39:06.302629,
,REGISTER#2025-08-09T20:38:28.125413,"{'nombre': 'María Inés pulido', 'gerencia': 'Bogotá'}",USER#203bb60e-cd85-485f-9628-c91ccc75df4c,2025-08-09T20:38:28.125413,
,REGISTER#2025-08-14T13:24:11.332383,"{'nombre': 'Marcelo', 'gerencia': 'Bogota'}",USER#d065c8ca-d727-460b-b0cc-257ef1a9647a,2025-08-14T13:24:11.332383,
,REGISTER#2025-08-04T21:08:12.131592,"{'nombre': 'edwin', 'gerencia': 'bogota'}",USER#dd1fb1f7-3904-463e-b332-75af2500fee3,2025-08-04T21:08:12.131592,
"[{'from': 'bot', 'text': 'Buenas noches. Con gusto le ayudo con la información sobre cómo obtener su certificado catastral.\n\nEl certificado catastral se puede obtener de dos maneras principales:\n\n1. De forma virtual:\nPuede obtenerlo gratuitamente ingresando a Catastro en Línea en la siguiente dirección: https://catastroenlinea.catastrobogota.gov.co/cel/#/process <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/certificacion-catastral-registros-alfanumericos-certificados-catastrales-para"" target=""_blank"" rel=""noopener"">[2]</a>\n\n2. De forma presencial:\nPuede solicitarlo en cualquiera de los 6 puntos SuperCADE donde hace presencia la Unidad Administrativa Especial de Catastro Distrital (UAECD). Para esto, es necesario agendar previamente una cita en: https://www.catastrobogota.gov.co/agenda/inicio-agenda <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/certificacion-catastral-registros-alfanumericos-certificados-catastrales-para"" target=""_blank"" rel=""noopener"">[2]</a>\n\nEs importante tener en cuenta que el certificado catastral se entrega de forma gratuita a los propietarios inscritos en la base de datos catastral <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/certificacion-catastral-registros-alfanumericos-certificados-catastrales-para"" target=""_blank"" rel=""noopener"">[2]</a>.\n\nSi usted no es el propietario del predio, puede adquirir el certificado catastral para terceros de dos formas:\n\n1. En la tienda virtual: https://catastroenlinea.catastrobogota.gov.co/tienda-virtual/\n2. Directamente en la Tienda Catastral ubicada en el SuperCade CAD <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/certificacion-catastral-registros-alfanumericos-certificados-catastrales-para"" target=""_blank"" rel=""noopener"">[2]</a>\n\nPara obtener el certificado, necesitará proporcionar al menos uno de los siguientes identificadores del predio:\n- CHIP (Código Homologado de Identificación Predial)\n- Matrícula inmobiliaria\n- Dirección  \n\nRecuerde que este certificado está protegido por la norma de Habeas data <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/certificacion-catastral-registros-alfanumericos-certificados-catastrales-para"" target=""_blank"" rel=""noopener"">[2]</a>.\n\n¿Hay algo más en lo que pueda ayudarle respecto a este trámite?', 'timestamp': '2025-08-05T19:27:02Z'}]",CONVERSATION#2025-08-06T00:27:02.943726,"{'nombre': 'Tulia Estevez', 'ciudad': 'Bogota D.C'}",USER#89f882a5-01bb-42f6-922a-bab6e02421be,2025-08-06T00:27:02.943726,
,REGISTER#2025-08-06T00:25:51.630081,"{'nombre': 'Tulia Estevez', 'gerencia': 'Bogota D.C'}",USER#89f882a5-01bb-42f6-922a-bab6e02421be,2025-08-06T00:25:51.630081,
"[{'from': 'user', 'text': 'hola', 'timestamp': '2025-08-20T17:10:51Z'}, {'from': 'bot', 'text': 'Hola, bienvenido. Soy CatIA, el asistente virtual de Catastro Distrital de Bogotá. Estoy aquí para ayudarte con información general sobre nuestra entidad. ¿En qué puedo asistirte hoy? Puedes preguntarme sobre nuestros puntos de atención, trámites y servicios, o cualquier otra consulta relacionada con Catastro Distrital.', 'timestamp': '2025-08-20T17:10:51Z'}]",CONVERSATION#2025-08-20T22:10:52.083680,"{'nombre': 'Daniela Lalle Montaña', 'ciudad': 'Bogotá'}",USER#00c4f9e3-163f-4e34-85a1-fb159191f823,2025-08-20T22:10:52.083680,
,REGISTER#2025-08-20T22:10:27.402236,"{'nombre': 'Daniela Lalle Montaña', 'gerencia': 'Bogotá'}",USER#00c4f9e3-163f-4e34-85a1-fb159191f823,2025-08-20T22:10:27.402236,
,REGISTER#2025-08-12T16:53:43.072345,"{'nombre': 'Paco', 'gerencia': 'Bogotá'}",USER#94f6b301-216a-4778-a558-b43a1607a8ef,2025-08-12T16:53:43.072345,
,REGISTER#2025-08-11T13:10:39.177241,"{'nombre': 'erika barragan', 'gerencia': 'BOGOTA'}",USER#e5d621b7-3d4a-4c7a-a954-f6dd3473960f,2025-08-11T13:10:39.177241,
"[{'from': 'user', 'text': 'Cita, para solicitar certificado de nimenclatura', 'timestamp': '2025-08-21T11:23:49Z'}, {'from': 'bot', 'text': 'Para solicitar un certificado de nomenclatura en Catastro Bogotá, tienes varias opciones disponibles. Te proporcionaré la información sobre cómo agendar una cita para este trámite:\n\n1. Cita virtual:\nPuedes agendar una cita de orientación virtual para recibir asesoría sobre el trámite de certificado de nomenclatura. Para esto, sigue estos pasos:\n\n- Ingresa a la sección ""Agenda a un Clic"" en la página web de Catastro Bogotá  .\n- Selecciona la opción ""Agendar una cita de orientación virtual"".\n- Sigue las instrucciones para reservar tu cita de videollamada.\n\n2. Cita presencial:\nSi prefieres realizar el trámite de manera presencial, puedes agendar una cita en uno de los puntos de atención de Catastro Bogotá. Para esto:\n\n- Ingresa a la misma sección ""Agenda a un Clic""  .\n- Selecciona la opción ""Agendar una cita presencial"".\n- Elige la fecha y hora que más te convenga para tu visita.\n\nAl finalizar la solicitud de la cita, ya sea virtual o presencial, el sistema te enviará un correo electrónico con la confirmación y los detalles de tu cita  .\n\nEs importante mencionar que el certificado de nomenclatura es uno de los trámites disponibles en Catastro Bogotá y se refiere a la obtención del número de identificación único de los bienes raíces que se encuentren dentro de la jurisdicción <a href=""https://www.catastrobogota.gov.co/tramites-y-servicios/asignacion-de-nomenclatura"" target=""_blank"" rel=""noopener"">[6]</a>.\n\nPara obtener más información sobre este y otros trámites, te recomiendo visitar la página oficial de Catastro Bogotá: www.catastrobogota.gov.co', 'timestamp': '2025-08-21T11:23:49Z'}]",CONVERSATION#2025-08-21T16:23:50.028158,"{'nombre': 'Gonzalo Gomez Vargas', 'ciudad': 'Bogota'}",USER#230ab123-5ed0-49bc-9f5a-ff65f1eb9774,2025-08-21T16:23:50.028158,
,REGISTER#2025-08-21T16:22:44.687514,"{'nombre': 'Gonzalo Gomez Vargas', 'gerencia': 'Bogota'}",USER#230ab123-5ed0-49bc-9f5a-ff65f1eb9774,2025-08-21T16:22:44.687514,
